Gloss,Subclass,Class,POS
???,0,0,0
[SEP],1,1,1
A1P,2,2,2
A2P,2,2,2
A1S,2,2,2
A2S,2,2,2
E1,3,2,2
E2,3,2,2
E3,3,2,2
E1P,3,2,2
E2P,3,2,2
E3P,3,2,2
E1S,3,2,2
E2S,3,2,2
E3S,3,2,2
AFE,4,3,2
ITR,4,3,2
TRN,4,3,2
AP,5,4,2
APLI,5,4,2
CAU,5,4,2
MOV,5,4,2
PAS,5,4,2
REC,5,4,2
RFX,5,4,2
COM,6,5,2
INC,6,5,2
PRG,6,5,2
COND,7,5,2
IMP,7,5,2
INT,7,5,2
TAM,8,6,2
DIR,9,7,2
PP,9,7,2
SC,9,7,2
SV,9,7,2
EXS,10,8,2
POS,10,8,2
VI,10,8,2
VT,10,8,2
ADJ,11,9,3
NOM,11,9,3
PRON,11,9,3
S,11,9,3
SAB,11,9,3
TOP,11,9,3
VOC,11,9,3
CLAS,12,10,3
DIM,12,10,3
GNT,12,10,3
NUM,12,10,3
AGT,13,11,3
INS,13,11,3
PL,14,12,3
ADV,15,13,4
AFI,16,14,5
NEG,16,14,5
PART,16,14,5
SREL,16,14,5
ART,17,15,6
DEM,17,15,6
CONJ,18,16,7
ENF,19,17,8
ITS,19,17,8
MED,19,17,8
PREP,20,18,9
